Variable,Impact_MAE_kg
thetao,29560.66897746967
vo,27865.36720103986
so_grad,24471.668652513006
sst_grad,23018.648505199293
chl_grad,14745.985701906437
so,10118.313366551127
CHL,9373.459922010428
uo,6375.552318024274
eke,-1314.9646880415967
elevation,-2460.5682409012225
fishing_hours,-14615.006715771218
