Variable,Impact_MAE_kg
fishing_hours,42453.7680350953
CHL,5170.805080155958
thetao,4477.956049610046
sst_grad,1872.7518143414054
so_grad,748.3174555892474
so,292.0178726169397
uo,240.35869800689397
chl_grad,-38.54925801564241
vo,-160.93866442807484
eke,-614.3642764298129
elevation,-662.3498158578877
