Variable,Impact_MAE_kg
fishing_hours,79628.2270905546
thetao,17933.7120613085
vo,12844.119909012166
sst_grad,12193.63298851822
elevation,8355.142087305023
chl_grad,4452.89593262563
so_grad,3929.8104961005156
CHL,1765.3705318457796
so,1360.5586005199584
eke,716.2107614818378
uo,-318.45799935009563
